record_id,source_kind,source_file,source_question_id,source_exam_code,source_exam_year,source_set_code,source_question_no,source_choice_label,subject,topic,question_type_original,question_type_marubatsu,statement_text,answer_bool,answer_label,explanation_text,legal_basis,rewrite_note,review_status
original_orig_set01_q2_c4,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q2,,,orig_set01,2,4,民法・借地借家法,履行遅滞と解除,case_based,true_false,相当の期間を定めて履行を催告し、その期間内に履行がなくても、不履行が軽微であれば債権者は必ず契約を解除することができる。,0,×,この記述は誤りです。催告後に履行がなくても、不履行が契約や取引上の社会通念に照らして軽微であれば解除はできません。,民法541条,軽微性を明示して×文化。,rewritten
original_orig_set01_q3_c1,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q3,,,orig_set01,3,1,民法・借地借家法,無断転貸と賃貸借解除,single_choice,true_false,賃借人が賃貸人の承諾を得ずに第三者へ転貸したときは、転貸借契約は当然に無効となる。,0,×,この記述は誤りです。無断転貸があっても、転貸借契約が当然に無効になるわけではありません。,民法612条,事例主語A・B・Cを一般化。,rewritten
original_orig_set01_q3_c2,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q3,,,orig_set01,3,2,民法・借地借家法,無断転貸と賃貸借解除,single_choice,true_false,賃借人が賃貸人の承諾を得ずに第三者へ転貸しても、賃貸人は賃貸借契約を解除することができない。,0,×,この記述は誤りです。無断転貸があれば、賃貸人は賃貸借契約を解除することができます。,民法612条,元の結論を簡潔化。,rewritten
original_orig_set01_q3_c3,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q3,,,orig_set01,3,3,民法・借地借家法,無断転貸と賃貸借解除,single_choice,true_false,賃借人が賃貸人の承諾を得ずに第三者に使用させても、賃料を支払っている限り、賃貸人は何ら主張することができない。,0,×,この記述は誤りです。賃料を支払っていても、無断転貸があれば賃貸人は解除権を主張し得ます。,民法612条,無断転貸の効果が見えるように一般化。,rewritten
original_orig_set01_q3_c4,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q3,,,orig_set01,3,4,民法・借地借家法,無断転貸と賃貸借解除,single_choice,true_false,賃借人が賃貸人の承諾を得ずに第三者に使用させたときは、賃貸人は賃貸借契約を解除することができる。,1,○,この記述は正しいです。賃借人が賃貸人の承諾なく第三者に使用又は収益をさせたときは、賃貸人は契約を解除することができます。,民法612条,元の正答肢をそのまま一問一答化。,rewritten
official_h19_q5_a,official,管理業務主任者問題確認一覧.csv,h19_q5,h19,平成19年度,,5,ア,民法・借地借家法,共有と区分所有,combination,true_false,共有の専有部分の管理に関する事項は、共有者の頭数及び各持分の価格の各過半数で決する。,0,×,この記述は誤りです。共有物の管理は、頭数ではなく持分価格の過半数で決するのが原則です。,民法（共有）,元の条文比較問題からアだけを独立させた。,rewritten
official_h19_q5_i,official,管理業務主任者問題確認一覧.csv,h19_q5,h19,平成19年度,,5,イ,民法・借地借家法,共有物分割,combination,true_false,共有者は、分割をしない旨の契約がない限り、いつでも共有物の分割を請求することができる。,1,○,この記述は正しいです。共有者は、分割禁止の特約がない限り、いつでも共有物の分割を請求できます。,民法（共有物分割）,「301号室」の個別事情を一般化した。,rewritten
official_h19_q5_u,official,管理業務主任者問題確認一覧.csv,h19_q5,h19,平成19年度,,5,ウ,民法・借地借家法,占有の推定,combination,true_false,占有者は、所有の意思をもって、善意で、平穏に、かつ、公然と占有しているものと推定される。,1,○,この記述は正しいです。占有者については、所有の意思、善意、平穏、公然占有が推定されます。,民法186条,元の占有に関する文を自然な断定文に整えた。,rewritten
official_h19_q5_e,official,管理業務主任者問題確認一覧.csv,h19_q5,h19,平成19年度,,5,エ,民法・借地借家法,時効取得と共用部分持分,combination,true_false,専有部分を時効取得しても、それに従たる共用部分の持分を一体として取得することはできない。,0,×,この記述は誤りです。専有部分を時効取得すれば、それに従たる共用部分の持分も一体として取得するのが原則です。,区分所有法,説明文の結論が見えるように「一体として」を残した。,rewritten
official_h19_q8_a,official,管理業務主任者問題確認一覧.csv,h19_q8,h19,平成19年度,,8,ア,標準管理委託契約書・指針,管理事務費用負担,count,true_false,マンション標準管理委託契約書では、管理員室、管理用倉庫、清掃員控室、器具、備品等は、管理組合が管理業者に無償で使用させるものとされている。,1,○,この記述は正しいです。管理員室や管理用倉庫、備品等を管理組合が無償で使用させるという整理は、標準管理委託契約書の考え方に沿います。,マンション標準管理委託契約書,元文を一問一答向けに一文化。,rewritten
official_h19_q8_i,official,管理業務主任者問題確認一覧.csv,h19_q8,h19,平成19年度,,8,イ,標準管理委託契約書・指針,定額委託業務費以外の精算,count,true_false,マンション標準管理委託契約書では、定額委託業務費以外の業務費について、各業務終了後に精算の上で支払う方法が予定されている。,1,○,この記述は正しいです。定額委託業務費以外の業務費は、業務終了後に精算の上で支払う考え方がとられています。,マンション標準管理委託契約書,支払方法の骨格を残して簡潔化。,rewritten
official_h19_q8_u,official,管理業務主任者問題確認一覧.csv,h19_q8,h19,平成19年度,,8,ウ,標準管理委託契約書・指針,定額委託業務費の定義,count,true_false,定額委託業務費とは、委託業務費のうち、その負担方法が定額で、かつ精算を要しない費用をいう。,1,○,この記述は正しいです。定額委託業務費とは、負担方法が定額で、精算を要しない費用を指します。,マンション標準管理委託契約書,定義文なのでそのまま活かした。,rewritten
official_h19_q8_e,official,管理業務主任者問題確認一覧.csv,h19_q8,h19,平成19年度,,8,エ,標準管理委託契約書・指針,水道光熱費等の負担,count,true_false,マンション管理業者が管理事務を実施するのに伴い必要となる水道光熱費等の諸費用の負担は、その都度、管理組合と管理業者が協議して決定する。,0,×,この記述は誤りです。水道光熱費等の負担は、その都度の協議に委ねるのではなく、契約上あらかじめ整理しておくべき事項です。,マンション標準管理委託契約書,「その都度」を残して誤りの核を明確化した。,rewritten
original_orig_set01_q4_a,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q4,,,orig_set01,4,ア,民法・借地借家法,債務承認と時効,count,true_false,管理費債権は、債権者が権利を行使することができることを知った時から5年間行使しないときは、原則として時効により消滅する。,1,○,この記述は正しいです。債権は、権利を行使できることを知った時から5年間行使しないときは、原則として時効により消滅します。,民法166条,元のア文はそのまま一問一答化しやすい。,rewritten
original_orig_set01_q4_i,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q4,,,orig_set01,4,イ,民法・借地借家法,債務承認と時効,count,true_false,滞納者が、滞納管理費の一部であることを明示して金銭を支払ったときは、その行為は債務の承認に当たり得る。,1,○,この記述は正しいです。滞納額の一部であることを明示した支払は、債務の承認に当たり得ます。,民法（時効の更新）,管理費滞納の文脈を維持した。,rewritten
original_orig_set01_q4_u,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q4,,,orig_set01,4,ウ,民法・借地借家法,債務承認と時効,count,true_false,債務の承認があっても、それまで進行していた時効期間はそのまま維持され、残り期間だけが進行する。,0,×,この記述は誤りです。債務の承認があると、それまで進行していた時効は更新され、残り期間だけがそのまま進むわけではありません。,民法152条,時効更新の効果が見えるように原文を維持した。,rewritten
original_orig_set01_q4_e,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q4,,,orig_set01,4,エ,民法・借地借家法,債務承認と時効,count,true_false,債務の承認は、訴えの提起その他の裁判上の手続によってのみすることができ、一部弁済や支払約束では足りない。,0,×,この記述は誤りです。債務の承認は裁判上の手続に限られず、一部弁済や支払約束などでも認められ得ます。,民法（時効の更新）,誤りの核がはっきりしているのでそのまま採用。,rewritten
original_orig_set01_q8_a,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q8,,,orig_set01,8,ア,区分所有法,総会決議要件,combination,true_false,区分所有法上、管理者の選任は、区分所有者及び議決権の各4分の3以上の多数による決議を要する。,0,×,この記述は誤りです。管理者の選任は、原則として過半数決議で足ります。,区分所有法39条,「各4分の3以上」が必要かどうかを単独判定できる形にした。,rewritten
original_orig_set01_q8_i,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q8,,,orig_set01,8,イ,区分所有法,総会決議要件,combination,true_false,区分所有法上、規約の変更は、区分所有者及び議決権の各4分の3以上の多数による決議を要する。,1,○,この記述は正しいです。規約の変更は、原則として区分所有者及び議決権の各4分の3以上の多数による決議を要します。,区分所有法31条,条文知識としてそのまま一問一答化しやすい。,rewritten
original_orig_set01_q8_u,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q8,,,orig_set01,8,ウ,区分所有法,総会決議要件,combination,true_false,区分所有法上、義務違反行為をした区分所有者に対し、専有部分の使用禁止を求める訴えの提起を決議するには、区分所有者及び議決権の各4分の3以上の多数を要する。,1,○,この記述は正しいです。使用禁止請求に関する決議は、各4分の3以上の多数による決議を要します。,区分所有法58条2項,訴え提起決議の要件として整理。,rewritten
original_orig_set01_q8_e,original,管理業務主任者オリジナル実践演習問題500問.csv,orig_set01_q8,,,orig_set01,8,エ,区分所有法,総会決議要件,combination,true_false,区分所有法上、共用部分の管理に関する通常の事項を決するには、区分所有者及び議決権の各4分の3以上の多数を要する。,0,×,この記述は誤りです。共用部分の通常の管理事項は、原則として過半数決議で足ります。,区分所有法39条,通常管理事項と特別決議事項の区別が分かるようにした。,rewritten
official_h19_q4_c1,official,管理業務主任者問題確認一覧.csv,h19_q4,h19,平成19年度,,4,1,民法・借地借家法,賃料債権の先取特権,single_choice,true_false,賃貸人の賃料債権についての先取特権は、賃借人が賃借物に備え付けた動産について存在する。,1,○,この記述は正しいです。賃貸人の先取特権は、賃借物に備え付けられた動産に及びます。,民法（先取特権）,「本件専有部分」を賃借物に一般化。,rewritten
official_h19_q4_c2,official,管理業務主任者問題確認一覧.csv,h19_q4,h19,平成19年度,,4,2,民法・借地借家法,転借人の動産と先取特権,single_choice,true_false,賃借人が賃貸人の承諾を得て第三者に転貸した場合、賃貸人の賃料債権についての先取特権は、転借人の動産にも及ぶ。,1,○,この記述は正しいです。承諾のある転貸であれば、賃貸人の先取特権は転借人の動産にも及びます。,民法（先取特権）,承諾転貸の要素を残した。,rewritten
official_h19_q4_c3,official,管理業務主任者問題確認一覧.csv,h19_q4,h19,平成19年度,,4,3,民法・借地借家法,動産売却後の先取特権,single_choice,true_false,賃貸人の賃料債権についての先取特権は、賃借人が賃借物に備え付けた動産を第三者に売却して引き渡した後は、その動産について行使することができない。,1,○,この記述は正しいです。第三者に売却され引き渡された後は、その動産自体に対して先取特権を行使することはできません。,民法（先取特権）,第三者名を一般化。,rewritten
official_h19_q4_c4,official,管理業務主任者問題確認一覧.csv,h19_q4,h19,平成19年度,,4,4,民法・借地借家法,物上代位,single_choice,true_false,賃貸人の賃料債権についての先取特権は、賃借人が賃借物に備え付けた動産を売却した場合に、その売買代金債権に対して行使することはできない。,0,×,この記述は誤りです。売却によって賃借人が受けるべき金銭に対しては、物上代位により先取特権を行使し得ます。,民法（先取特権・物上代位）,「Eから受けるべき金銭」を売買代金債権に言い換えた。,rewritten
official_h19_q6_c1,official,管理業務主任者問題確認一覧.csv,h19_q6,h19,平成19年度,,6,1,民法・借地借家法,無断転貸の効力,single_choice,true_false,賃借人が賃貸人の承諾を得ずに第三者へ転貸しても、賃借人と第三者との間の転貸借契約自体は有効であり、賃借人は第三者に賃料を請求することができる。,1,○,この記述は正しいです。無断転貸であっても、賃借人と第三者の間の転貸借契約自体は有効です。,民法612条・判例,元のA-C表現を一般化。,rewritten
official_h19_q6_c2,official,管理業務主任者問題確認一覧.csv,h19_q6,h19,平成19年度,,6,2,民法・借地借家法,転貸借契約の解除,single_choice,true_false,賃貸人の承諾が得られない無断転貸の場合、転借人は賃借人に対して転貸借契約を解除することができる。,1,○,この記述は正しいです。賃貸人の承諾が得られないことで、転借人が賃借人に対して契約解除を問題にできる場面があります。,民法・判例実務,元の結論を保って簡潔化。,rewritten
official_h19_q6_c3,official,管理業務主任者問題確認一覧.csv,h19_q6,h19,平成19年度,,6,3,民法・借地借家法,無断転貸と解除権,single_choice,true_false,賃借人が無断転貸に基づいて第三者に使用させたときは、賃貸人は賃貸借契約を解除することができる。,1,○,この記述は正しいです。無断転貸は、賃貸人による賃貸借契約の解除原因となります。,民法612条,基本効果としてそのまま採用。,rewritten
official_h19_q6_c4,official,管理業務主任者問題確認一覧.csv,h19_q6,h19,平成19年度,,6,4,民法・借地借家法,所有権に基づく明渡請求,single_choice,true_false,賃貸人は、賃借人との賃貸借契約を解除しない限り、転借人に対して所有権に基づく明渡しを請求することはできない。,0,×,この記述は誤りです。賃貸人は、賃貸借契約を解除しなければ何もできないわけではなく、所有権に基づく明渡しを求め得ます。,民法・判例,「何もできないわけではない」という解説趣旨を反映。,rewritten
official_h19_q10_c1,official,管理業務主任者問題確認一覧.csv,h19_q10,h19,平成19年度,,10,1,民法・借地借家法,管理費滞納と遅延損害金,single_choice,true_false,管理規約に遅延損害金の定めがない場合、管理組合は滞納管理費の元本のみ請求でき、遅延損害金を請求することはできない。,0,×,この記述は誤りです。規約に特約がなくても、法定の遅延損害金を請求し得る場面があります。,民法（法定利率等）,「元本のみ」を誤りの核として残した。,rewritten
official_h19_q10_c2,official,管理業務主任者問題確認一覧.csv,h19_q10,h19,平成19年度,,10,2,民法・借地借家法,債務承認と管理費滞納,single_choice,true_false,管理費の滞納者が、滞納の事実を認めたうえで、滞納管理費の一部であることを明示して支払った場合、全額について時効の完成猶予や更新に関わる効果が生じ得る。,1,○,この記述は正しいです。滞納の事実を認めて一部弁済をすれば、債務の承認に当たり、時効の完成猶予や更新に関わる効果が生じ得ます。,民法（時効の更新）,現行解説に合わせて効果を言い換えた。,rewritten
official_h19_q10_c3,official,管理業務主任者問題確認一覧.csv,h19_q10,h19,平成19年度,,10,3,民法・借地借家法,相続放棄と滞納管理費,single_choice,true_false,管理費の滞納者が死亡し、その相続人が相続放棄をしたときは、管理組合は管理費について一切請求することができない。,0,×,この記述は誤りです。相続放棄があっても、直ちに全て請求不能になるわけではなく、相続財産管理など別途の検討が必要です。,民法（相続）・管理費回収実務,「一切」を残して誤りを明確化。,rewritten
official_h19_q10_c4,official,管理業務主任者問題確認一覧.csv,h19_q10,h19,平成19年度,,10,4,民法・借地借家法,特定承継人の管理費債務,single_choice,true_false,区分所有権の買主が前区分所有者の滞納管理費の事実や額を知らず、かつ過失もないときは、管理組合に対してその支払義務を負わない。,0,×,この記述は誤りです。管理費債務は特定承継人にも承継されるため、買主が善意無過失でも支払義務を免れません。,区分所有法8条・7条実務,買主の善意無過失では免れない点を明示。,rewritten
official_h19_q35_a,official,管理業務主任者問題確認一覧.csv,h19_q35,h19,平成19年度,,35,ア,区分所有法,敷地利用権の定義,count,true_false,敷地利用権とは、専有部分を所有するための建物の敷地に関する権利をいう。,1,○,この記述は正しいです。敷地利用権の定義として、そのとおりです。,区分所有法2条6項,定義文なのでそのまま活用。,rewritten
official_h19_q35_i,official,管理業務主任者問題確認一覧.csv,h19_q35,h19,平成19年度,,35,イ,区分所有法,規約敷地,count,true_false,規約敷地は、法定敷地と隣接していなくてもよい。,1,○,この記述は正しいです。規約敷地は、法定敷地と必ずしも隣接している必要はありません。,区分所有法5条,短くても意味が完結しているためそのまま採用。,rewritten
official_h19_q35_u,official,管理業務主任者問題確認一覧.csv,h19_q35,h19,平成19年度,,35,ウ,区分所有法,敷地利用権の権利形態,count,true_false,敷地利用権は、数人で有する所有権の共有でなくてもよい。,1,○,この記述は正しいです。敷地利用権は、共有以外の権利形態である場合もあります。,区分所有法2条6項,「所有権（共有）」を簡潔化。,rewritten
official_h19_q35_e,official,管理業務主任者問題確認一覧.csv,h19_q35,h19,平成19年度,,35,エ,区分所有法,分離処分,count,true_false,専有部分とその専有部分に係る敷地利用権とを分離して処分することができる旨の規約の定めは、無効である。,0,×,この記述は誤りです。専有部分と敷地利用権の分離処分は、規約で認める余地があります。,区分所有法22条,誤りの核をそのまま残した。,rewritten
official_h19_q7_c1,official,管理業務主任者問題確認一覧.csv,h19_q7,h19,平成19年度,,7,1,標準管理委託契約書・指針,宅建業者への情報開示,single_choice,true_false,マンションの専有部分を含む修繕の実施状況については、マンション管理業者は一律に書面で開示しなければならない。,0,×,この記述は誤りです。標準管理委託契約書は、専有部分まで含めた修繕履歴を一律に書面開示する趣旨ではありません。,マンション標準管理委託契約書,「一律に」を残して誤りの核を明確化。,rewritten
official_h19_q7_c2,official,管理業務主任者問題確認一覧.csv,h19_q7,h19,平成19年度,,7,2,標準管理委託契約書・指針,管理規約写しの提供,single_choice,true_false,管理規約の写しを提供するときは、管理業務主任者の記名押印が必須である。,0,×,この記述は誤りです。管理規約の写しの提供に、管理業務主任者の記名押印が必須とされているわけではありません。,マンション標準管理委託契約書,記名押印必須論を単文化。,rewritten
official_h19_q7_c3,official,管理業務主任者問題確認一覧.csv,h19_q7,h19,平成19年度,,7,3,標準管理委託契約書・指針,電磁的記録の開示,single_choice,true_false,管理規約が電磁的記録で作成されている場合は、記録内容を画面表示するだけで足りる。,0,×,この記述は誤りです。電磁的記録だからといって、単に画面表示するだけで足りるという整理ではありません。,マンション標準管理委託契約書,「だけで足りる」を誤りの核として残した。,rewritten
official_h19_q7_c4,official,管理業務主任者問題確認一覧.csv,h19_q7,h19,平成19年度,,7,4,標準管理委託契約書・指針,修繕積立金積立総額の開示,single_choice,true_false,管理組合の修繕積立金積立総額については、書面で開示するものとされている。,1,○,この記述は正しいです。修繕積立金積立総額は、書面で開示する情報の代表例です。,マンション標準管理委託契約書,正答肢をそのまま一問一答化。,rewritten
official_h19_q9_c1,official,管理業務主任者問題確認一覧.csv,h19_q9,h19,平成19年度,,9,1,標準管理委託契約書・指針,事務管理業務,single_choice,true_false,マンション標準管理委託契約書では、組合員別管理費等負担額一覧表を毎月管理組合へ提出することまでを、当然の事務管理業務として求めている。,0,×,この記述は誤りです。組合員別管理費等負担額一覧表を毎月提出することまでを、当然の事務管理業務として求めているわけではありません。,マンション標準管理委託契約書,最も不適切肢を×文に変換。,rewritten
official_h19_q9_c2,official,管理業務主任者問題確認一覧.csv,h19_q9,h19,平成19年度,,9,2,標準管理委託契約書・指針,外注修繕の企画調整,single_choice,true_false,管理組合が第三者へマンションの維持又は修繕を外注する場合、管理業者がその企画又は実施の調整を行うことは、標準管理委託契約書に沿う。,1,○,この記述は正しいです。外注修繕等の企画や実施の調整は、管理実務と結び付きの強い内容です。,マンション標準管理委託契約書,「大規模修繕を除く」趣旨を保ちつつ簡潔化。,rewritten
official_h19_q9_c3,official,管理業務主任者問題確認一覧.csv,h19_q9,h19,平成19年度,,9,3,標準管理委託契約書・指針,組合員等名簿の整備,single_choice,true_false,管理組合の異動届に基づき、組合員及び賃借人等の氏名や連絡先を記載した名簿を整備することは、標準管理委託契約書に沿う。,1,○,この記述は正しいです。組合員や賃借人等の名簿整備は、管理実務との結び付きが強い内容です。,マンション標準管理委託契約書,元文をそのまま自然化。,rewritten
official_h19_q9_c4,official,管理業務主任者問題確認一覧.csv,h19_q9,h19,平成19年度,,9,4,標準管理委託契約書・指針,点検結果の報告と助言,single_choice,true_false,管理対象部分の点検や検査の結果を管理組合に報告し、改善が必要な事項について文書で具体的方策を助言することは、標準管理委託契約書に沿う。,1,○,この記述は正しいです。点検結果の報告と改善方策の助言は、管理実務と強く結び付いた内容です。,マンション標準管理委託契約書,報告と助言を一文に整理。,rewritten
official_h19_q12_c1,official,管理業務主任者問題確認一覧.csv,h19_q12,h19,平成19年度,,12,1,標準管理規約,管理費不足と追加負担,single_choice,true_false,収支決算の結果、管理費等に不足が生じた場合、各区分所有者に追加負担を求めるには、理事会の決議を経れば足りる。,0,×,この記述は誤りです。各区分所有者に追加負担を求めるのであれば、理事会決議だけで足りるのではなく、総会での承認を要します。,マンション標準管理規約,「理事会決議で足りる」を誤りの核として残した。,rewritten
official_h19_q12_c2,official,管理業務主任者問題確認一覧.csv,h19_q12,h19,平成19年度,,12,2,標準管理規約,収支予算の変更,single_choice,true_false,収支予算を変更しようとするときは、理事長はその案を臨時総会に提出し、承認を得なければならない。,1,○,この記述は正しいです。収支予算の変更には、総会の承認が必要です。,マンション標準管理規約,元文をほぼそのまま採用。,rewritten
official_h19_q12_c3,official,管理業務主任者問題確認一覧.csv,h19_q12,h19,平成19年度,,12,3,標準管理規約,特別の管理に要する経費と借入れ,single_choice,true_false,管理組合が特別の管理に要する経費に充てるため借入れをするには、総会の決議を経なければならない。,1,○,この記述は正しいです。特別の管理に要する経費のための借入れには、総会の決議が必要です。,マンション標準管理規約,簡潔な断定文に整理。,rewritten
official_h19_q12_c4,official,管理業務主任者問題確認一覧.csv,h19_q12,h19,平成19年度,,12,4,標準管理規約,修繕積立金の保管運用,single_choice,true_false,修繕積立金の保管及び運用方法を決めるには、総会の決議を経なければならない。,1,○,この記述は正しいです。修繕積立金の保管及び運用方法は、総会の決議を要する事項です。,マンション標準管理規約,条文趣旨が明確なためそのまま採用。,rewritten
