question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,explanation
11,single,標準管理規約,orig_set01;管理費と修繕積立金の使途;basic;single_choice,マンション標準管理規約によれば、管理費から支出するのが最も適切なものはどれか。,,,,,,長期修繕計画に基づき15年ごとに実施する外壁の大規模修繕工事費,共用自動ドアのセンサー不良に対応する経常的な補修費,建替えに係る合意形成のために必要な調査費用,修繕積立金の管理及び運用に関する費用,2,正解は2です。標準管理規約27条では、管理費は通常の管理に要する経費に充当するとされ、その中には経常的な補修費が含まれます。したがって2が正しいです。1の一定年数ごとに計画的に行う修繕、3の建替え等に係る合意形成のための調査、4の修繕積立金の管理及び運用は、いずれも28条に基づく修繕積立金の使途です。
12,single,標準管理規約,orig_set01;理事会の権限;standard;case_based,マンション標準管理規約によれば、理事会の承認又は決議のみで行うことができるものはどれか。,,,,,,毎会計年度の収支予算案を確定すること,修繕積立金の保管及び運用方法を定めること,会計年度開始後、通常総会で予算承認を得る前に、管理員人件費など経常的でやむを得ない支出を承認すること,長期修繕計画を変更すること,3,正解は3です。標準管理規約58条3項は、会計年度開始後、通常総会で収支予算案の承認を得るまでの間に、通常の管理に要する経費のうち経常的でやむを得ないものについては、理事会の承認により支出できるとしています。したがって3が正しいです。1の収支予算案、2の修繕積立金の保管運用方法、4の長期修繕計画の変更は、いずれも48条により総会決議事項です。
13,combination,標準管理規約,orig_set01;総会出席と代理;standard;combination,マンション標準管理規約によれば、総会への出席又は議決権行使に関する次のアからエまでの記述のうち、正しいもののみの組合せはどれか。,,,,,,アとイ,イとエ,アとウ,ウとエ,3,正解は3です。アとウが正しいです。アは、標準管理規約45条1項により、理事会が必要と認めた者は総会に出席できます。ウも、46条5項により、代理人となれる者は配偶者、一親等親族、同居親族、他の組合員、国内管理人などに限定されています。イは、利害関係を有する占有者には総会出席と意見陳述が認められるため誤りです。エも、代理人を無制限に選任できるわけではないため誤りです。
14,single,標準管理規約,orig_set01;専有部分への立入り;standard;single_choice,マンション標準管理規約によれば、専有部分への立入り等に関する次の記述のうち、正しいものはどれか。,,,,,,管理を行うために必要であっても、専有部分への立入りは、当該区分所有者の個別同意がなければ一切請求することができない。,立入り又は保存行為の実施を請求された者は、理由のいかんを問わずこれを拒否することができない。,理事長は、災害や事故の場合であっても、当該専有部分の所有者の承諾がない限り、自ら立ち入ることはできない。,災害、事故等が発生し、緊急に専有部分への立入り又は保存行為の実施をしなければ共用部分等又は他の専有部分に重大な影響を与えるおそれがあるときは、理事長は自ら立ち入り、又は保存行為を実施することができる。,4,正解は4です。標準管理規約23条4項は、災害、事故等が発生した場合で、緊急に他の者が管理する専有部分等へ立入り又は保存行為を実施しなければ、共用部分等や他の専有部分に重大な影響を与えるおそれがあるときは、理事長が自ら立ち入り又は保存行為を実施できるとしています。したがって4が正しいです。1は23条1項に反し、2は『正当な理由』がある場合を無視しているので誤りです。3も、緊急時の理事長権限を否定しているため誤りです。
15,single,標準管理規約,orig_set01;規約改正と特別の影響;advanced;case_based,マンション標準管理規約及び建物の区分所有等に関する法律の考え方によれば、規約改正に当たり、特別の影響を受ける区分所有者の承諾が必要となるものとして最も適切なものはどれか。,,,,,,専有部分の床面積割合によって算定していた管理費負担を、全住戸均等負担へ改める規約変更を行う場合において、床面積の小さい住戸の区分所有者の負担が大幅に増えるとき,共用部分の清掃時間帯を午前から午後に変更する規約変更を行う場合,掲示板の掲示方法を紙掲示から電子掲示へ変更する規約変更を行う場合,理事会の定例開催月を偶数月から毎月へ変更する規約変更を行う場合,1,正解は1です。標準管理規約47条9項及び区分所有法31条1項の考え方では、規約の制定、変更又は廃止が一部の組合員の権利に特別の影響を及ぼすときは、その承諾を得なければなりません。管理費負担割合を床面積按分から均等負担へ変更し、特定の小規模住戸所有者の負担が大きく増える場合は、特別の影響が問題となる典型例です。したがって1が最も適切です。2から4は、一般的・抽象的な不便や運用変更にとどまり、ここでいう特別の影響が直ちに認められる類型ではありません。
16,count,会計・税務,orig_set01;前受金と預り金;basic;accounting_table,"管理組合の活動における次の取引に関し、3月分の仕訳として最も適切なものはどれか。なお、この管理組合の会計年度は4月1日から翌年3月31日までとし、期中の取引は発生主義により処理するものとする。3月31日に、翌4月分の外部貸し駐車場使用料90,000円と、同駐車場に係る敷金90,000円を現金で受け取った。",,,,,,"借方 現金 180,000 貸方 駐車場使用料収入 180,000","借方 現金 180,000 貸方 前受金 90,000・預り金 90,000","借方 現金 180,000 貸方 駐車場使用料収入 90,000・預り金 90,000","借方 現金 180,000 貸方 前受金 180,000",2,"正解は2です。3月31日に受け取った4月分の駐車場使用料90,000円は、当期の収益ではなく翌期の収益なので前受金として処理します。また、敷金90,000円は将来返還する可能性がある金銭であり、収益ではなく預り金です。したがって、借方に現金180,000円、貸方に前受金90,000円と預り金90,000円を計上する2が正しいです。"
17,count,会計・税務,orig_set01;未払金と前払費用;standard;accounting_table,"管理組合の活動における次の取引に関し、3月31日の仕訳として最も適切なものはどれか。なお、この管理組合の会計年度は4月1日から翌年3月31日までとし、期中の取引は発生主義により処理するものとする。4月20日に到着した請求書の内容は、管理委託費800,000円（翌5月分）、水道光熱費120,000円（3月分）、共用部分修繕費60,000円（3月分）、火災保険料240,000円（翌5月1日から1年分）である。",,,,,,"借方 管理委託費 800,000・水道光熱費 120,000・修繕費 60,000・損害保険料 240,000 貸方 未払金 1,220,000","借方 水道光熱費 120,000・修繕費 60,000・前払保険料 240,000 貸方 未払金 420,000","借方 水道光熱費 120,000・修繕費 60,000 貸方 未払金 180,000","借方 前払管理委託費 800,000・水道光熱費 120,000・修繕費 60,000・前払保険料 240,000 貸方 未払金 1,220,000",3,"正解は3です。3月31日時点で当期に発生しているのは、水道光熱費120,000円と修繕費60,000円だけです。翌5月分の管理委託費800,000円と、翌5月1日から始まる保険料240,000円は、3月末時点では当期費用でも前払費用でもありません。したがって、当期に計上すべき仕訳は、借方に水道光熱費120,000円と修繕費60,000円、貸方に未払金180,000円を計上する3です。"
18,combination,会計・税務,orig_set01;修繕積立金会計と一般会計;standard;combination,管理組合会計における一般会計と修繕積立金会計の区分に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとウ,アとイ,イとエ,ウとエ,1,正解は1です。アとウが適切です。管理員人件費のような通常の管理に要する経費は一般会計で処理します。一方、大規模修繕工事のための設計監理費用は、特別の管理に要する費用として修繕積立金会計で処理するのが適切です。イの長期修繕計画作成費用や、エの毎年の火災保険料の扱いを取り違えないことがポイントです。
19,single,会計・税務,orig_set01;駐車場使用料等の処理;standard;single_choice,"管理組合が外部貸し駐車場3台分について、月額40,000円で使用させている場合に関する次の記述のうち、発生主義による会計処理として最も適切なものはどれか。なお、3月分のうち1台分40,000円が未収であり、4月分3台分120,000円と保証金30,000円を3月31日に普通預金で受け取ったものとする。",,,,,,"借方 普通預金 150,000 貸方 駐車場使用料収入 150,000","借方 普通預金 150,000 貸方 未収入金 40,000・駐車場使用料収入 80,000・前受金 30,000","借方 普通預金 150,000 貸方 駐車場使用料収入 120,000・預り金 30,000","借方 普通預金 150,000 貸方 未収入金 40,000・前受金 120,000・預り金 30,000",4,"正解は4です。3月分のうち未収となっていた40,000円は、受領時に未収入金の回収として処理します。3月31日に受け取った4月分3台分120,000円は翌期収益であるため前受金、保証金30,000円は返還義務を伴うため預り金です。したがって、借方普通預金150,000円、貸方未収入金40,000円・前受金120,000円・預り金30,000円とする4が最も適切です。"
20,single,会計・税務,orig_set01;貸借対照表と収支報告の読み取り;advanced;comparison_table,"次の資料は、ある管理組合の3月31日現在の貸借対照表の一部である。この資料に基づく記述として最も適切なものはどれか。普通預金 3,200,000円、未収入金 80,000円、前払費用 120,000円、未払金 150,000円、前受金 200,000円、預り金 90,000円、修繕積立金 2,500,000円。",,,,,,"前受金200,000円は、既に当期の収益として実現した金額を示している。","預り金90,000円は、将来返還する必要のない管理費剰余金を示している。","前払費用120,000円は、将来の期間に対応する費用を当期末時点で資産として計上していることを示す。","未払金150,000円は、必ず翌期以降の修繕積立金会計に属する支払義務を示す。",3,正解は3です。前払費用は、既に支出したが、将来の期間に対応する費用を資産として計上したものです。したがって3が正しいです。1の前受金は、将来の収益に対応する負債であり、当期収益ではありません。2の預り金も、返還義務等を伴う負債であって剰余金ではありません。4の未払金は支払義務を示す負債ですが、必ずしも修繕積立金会計に属するものとは限りません。
21,single,区分所有法,orig_set02;専有部分と共用部分;basic;single_choice,区分所有建物の部分の性質に関する次の記述のうち、建物の区分所有等に関する法律の規定によれば、正しいものはどれか。,,,,,,数戸の区分所有者が共通して使用する階段室であっても、登記上特定の区分所有者名義となっていれば、その者の専有部分となる。,専有部分となるには、利用上の独立性があれば足り、構造上の独立性は不要である。,管理員室その他の附属建物は、規約で共用部分と定めることができる。,規約で共用部分とされた部分は、常に構造上の共用部分と同一に扱われ、対外的な関係でも区別は一切存在しない。,3,正解は3です。区分所有法では、附属建物その他の建物部分について、規約で共用部分と定めることができます。したがって3が正しいです。1は、階段室のように構造上共用に供されるべき部分は共用部分であり、登記名義だけで専有部分にはなりません。2も、専有部分には構造上及び利用上の独立性が必要です。4は、規約共用部分には第三者対抗のための登記との関係など、構造上当然に共用部分となるものとは異なる論点があるため誤りです。
22,single,建築・設備,orig_set02;給水タンク;basic;comparison_table,給水タンクに関する次の事項のうち、建築基準法関係法令及び告示において数値が明示されているものはどれか。,,,,,,給水タンクに設ける通気管の長さ,給水タンクの点検用マンホールに内接する円の直径,給水タンクの清掃実施間隔,逆流防止のために必要なあふれ縁と水栓の水平距離,2,正解は2です。給水タンクの点検用マンホールについては、関係法令・告示で内接する円の直径に関する数値基準が示されています。したがって2が正しいです。1や3は一般的な仕様や維持管理上の論点であって、この設問でいう法令上の数値明示項目とはいえません。4も逆流防止論点として別の観点で問題になる事項であり、ここでの正答ではありません。
23,single,標準管理規約,orig_set02;管理費と修繕積立金の使途;basic;single_choice,マンション標準管理規約によれば、修繕積立金から支出するのが最も適切なものはどれか。,,,,,,共用部分の電気料,管理員人件費,毎年実施する消防設備点検費,外壁等の計画修繕工事に伴う設計監理費,4,正解は4です。標準管理規約28条では、一定年数ごとに計画的に行う修繕や、それに付随する調査・設計監理等の費用は修繕積立金から支出するとされています。したがって4が正しいです。1から3は、通常の管理に要する経費として管理費から支出するのが基本です。
24,count,民法・借地借家法,orig_set02;相殺;basic;count,相殺に関する次のアからエまでの記述のうち、民法の規定によれば、正しいものはいくつあるか。,,,,,,一つ,二つ,三つ,四つ,3,正解は3です。正しいものはア、イ、ウの三つです。アは、双方が同種の目的を有する債務であり、かつ弁済期にあるときは、原則として相殺が可能であるため正しいです。イも、受働債権がまだ弁済期にない以上、相殺適状にありません。ウも、当事者は相殺を禁止する特約をすることができます。エは、損害賠償債権であっても、その性質次第で相殺が全て禁止されるわけではないため誤りです。
25,single,区分所有法,orig_set02;敷地利用権;standard;case_based,Aは、敷地利用権が敷地の共有持分であるマンションの1室を所有している。Aが当該専有部分をBに譲渡する場合に関する次の記述のうち、建物の区分所有等に関する法律の規定によれば、正しいものはどれか。,,,,,,規約に別段の定めがなくても、Aは専有部分だけをBに譲渡し、敷地利用権は自己に留保することができる。,規約に別段の定めがない限り、Aは専有部分と敷地利用権とを分離して処分することができない。,Aが分離処分をした場合、その処分の無効は、Bが善意であっても悪意であっても一律に対抗することができない。,敷地利用権が共有持分であるかぎり、規約で別段の定めを置くことは認められない。,2,正解は2です。区分所有法22条1項は、敷地利用権が数人で有する所有権その他の権利である場合には、規約に別段の定めがない限り、専有部分と敷地利用権とを分離して処分することができないとしています。したがって2が正しいです。1は本則に反します。3も、違反処分の無効は善意の相手方に対抗できない場合があるため誤りです。4は、規約で別段の定めを置く余地を否定しているため誤りです。
26,combination,建築・設備,orig_set02;排水設備;standard;combination,排水設備に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとイ,アとウ,イとエ,ウとエ,2,正解は2です。アとウが適切です。アの排水トラップは、封水によって下水臭や害虫の侵入を防止する設備です。ウも、雨水系統と汚水系統を適切に区別して処理する考え方として妥当です。イは、通気管の役割を誤っており、実際には空気の流通を確保して封水破壊を防ぎます。エも、横引き排水管には適切な勾配が必要であり、水平に近いほどよいわけではありません。
27,single,標準管理規約,orig_set02;理事会の権限;standard;case_based,マンション標準管理規約によれば、理事会の決議事項として最も適切なものはどれか。,,,,,,共用廊下の照明器具が故障したため、同等品への交換工事を発注すること,管理費負担割合を変更するため、規約を改正すること,次年度の収支予算を確定すること,長期修繕計画を新たに作成し、確定すること,1,正解は1です。共用廊下照明の同等品交換のような保存行為や通常の管理の執行は、理事会の権限で処理し得る事項です。したがって1が最も適切です。2の規約変更、3の収支予算の確定、4の長期修繕計画の作成・確定は、いずれも標準管理規約上、総会決議を要する事項です。
28,combination,民法・借地借家法,orig_set02;債権譲渡;standard;combination,債権譲渡に関する次のアからエまでの記述のうち、民法の規定によれば、正しいもののみの組合せはどれか。,,,,,,アとウ,アとイ,イとエ,ウとエ,1,正解は1です。アとウが正しいです。アのとおり、債権は原則として譲渡可能です。ウも、債務者に対する対抗関係では通知又は承諾が基本となります。イは、譲渡制限特約があるからといって常に譲渡が無効になるわけではないため誤りです。エも、将来債権の譲渡が常に否定されるわけではありません。
29,combination,区分所有法,orig_set02;規約共用部分;standard;combination,規約共用部分に関する次のアからエまでの記述のうち、正しいもののみの組合せはどれか。,,,,,,アとイ,イとウ,ウとエ,アとエ,4,正解は4です。アとエが正しいです。区分所有法4条2項により、附属建物その他の建物部分を規約で共用部分とすることができます。また、同条3項により、規約共用部分は登記がなければ第三者に対抗できません。したがってアとエの組合せが正解です。イは登記不要とする点で誤りであり、ウも規約共用部分の対象を不当に狭めています。
30,single,建築・設備,orig_set02;建築材料;standard;single_choice,建築材料に関する次の記述のうち、最も適切なものはどれか。,,,,,,鉄筋コンクリート造の部材では、かぶり厚さが不足していても、鉄筋の腐食進行には通常影響しない。,鉄筋コンクリート造の部材では、かぶり厚さが不足すると、鉄筋が腐食しやすくなる要因となる。,木材は、含水率が変化しても、一般に寸法変化を生じない。,外壁目地のシーリング材は、紫外線や温度変化による劣化を受けにくいため、定期的な点検は通常不要である。,2,正解は2です。鉄筋コンクリート造の部材では、かぶり厚さが不足すると、鉄筋が外気や水分の影響を受けやすくなり、腐食が進みやすくなります。したがって2が最も適切です。1はその逆で誤りです。3も、木材は含水率の変化によって収縮や膨張を生じ得ます。4も、シーリング材は紫外線や温度変化の影響を受けて劣化するため、定期的な点検が重要です。
31,combination,標準管理規約,orig_set02;総会出席と代理;standard;combination,マンション標準管理規約による総会における議決権の行使に関する次のアからエまでの記述のうち、適切なもののみの組合せはどれか。,,,,,,アとウ,アとエ,イとウ,ウとエ,1,正解は1です。アとウが適切です。アのとおり、標準管理規約では組合員は書面又は代理人によって議決権を行使できます。また、専有部分が共有の場合には、議決権を行使する者一名を定めておく整理になります。イは、代理人の範囲を無制限としており不適切です。エも、代理権を証する書面は総会運営上、議決権行使の時点で確認できることが必要であり、総会終了後で足りるわけではありません。
32,single,民法・借地借家法,orig_set02;契約不適合責任;standard;single_choice,売買の目的物が種類、品質又は数量に関して契約の内容に適合しない場合に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,,,,,,買主は、契約不適合があっても、代金減額以外の請求をすることはできない。,買主は、目的物が契約の内容に適合しないときは、修補、代替物の引渡し又は不足分の引渡しによる追完を請求することができる。,売主が契約不適合を知りながら告げなかった場合でも、免責特約があれば常に責任を免れる。,買主は、契約不適合が軽微であっても、催告を要せず直ちに契約を解除しなければならない。,2,正解は2です。民法562条1項により、売買の目的物が種類、品質又は数量に関して契約の内容に適合しないとき、買主は修補、代替物の引渡し又は不足分の引渡しによる追完を請求できます。したがって2が正しいです。1は追完請求を否定しており誤りです。3も、民法572条により、売主が知りながら告げなかった事実については免責特約で免れません。4は解除の要件を誤っています。
33,single,区分所有法,orig_set02;総会決議要件;standard;precedent_fill,建物の区分所有等に関する法律によれば、規約の設定、変更又は廃止は、集会において、区分所有者及び議決権の各[　]以上の多数による決議によってする。この[　]に当てはまるものとして正しいものはどれか。,,,,,,2分の1,3分の2,4分の3,5分の4,3,正解は3です。区分所有法31条1項により、規約の設定、変更又は廃止は、区分所有者及び議決権の各4分の3以上の多数による集会の決議によって行います。したがって3が正しいです。なお、その規約の設定等が一部の区分所有者の権利に特別の影響を及ぼすときは、その承諾も必要になります。
34,single,建築・設備,orig_set02;断熱結露;standard;case_based,北側の洋室で、冬季に窓まわりや外壁面の隅部に結露が繰り返し発生している。室内では洗濯物の部屋干しが多く、換気設備も十分に使用されていない。この場合の対策として、最も適切なものはどれか。,,,,,,冬季の室内乾燥を防ぐため、換気設備の使用を控え、加湿を強める。,結露は主に外気温だけで決まるため、断熱改修や換気計画の見直しは不要である。,外壁や開口部の断熱性を改善するとともに、室内の換気を適切に確保する。,窓際の家具配置だけを変更すれば、他の対策を行わなくても結露は必ず防止できる。,3,正解は3です。結露は、室内空気中の水蒸気量が多く、かつ壁や窓の表面温度が低いと発生しやすくなります。そのため、外壁や開口部の断熱性を改善して表面温度を上げることと、換気設備を適切に使用して湿気を排出することを組み合わせるのが基本です。したがって3が最も適切です。1と2は原因理解が不十分で、4も補助的な工夫にとどまります。
35,single,標準管理規約,orig_set02;専有部分への立入り;standard;single_choice,マンション標準管理規約による専有部分等への立入りに関する次の記述のうち、最も適切なものはどれか。,,,,,,専有部分への立入りは所有権の侵害となるため、管理上必要であっても一切認められない。,理事長は、管理上必要であるかどうかにかかわらず、いつでも自由に専有部分へ立ち入ることができる。,立入り請求を受けた区分所有者は、理由の有無を問わず自由にこれを拒むことができる。,管理を行うため必要があるときは、必要な範囲で専有部分等への立入りを請求することができ、請求を受けた者は正当な理由なくこれを拒んではならない。,4,正解は4です。標準管理規約では、管理を行うため必要があるときは、必要な範囲で専有部分等への立入りを請求でき、請求を受けた区分所有者等は正当な理由なくこれを拒むことができないという整理です。したがって4が最も適切です。1と3は受忍義務を否定しており誤りで、2は管理上の必要性や範囲の限定を無視しています。
